"Gene_name" "Ratio" "Mean"
"1" "RNF14" 0 -1.1170729028348
"2" "HIF3A" 4.03181050381946 -0.49443068641012
"3" "UBE2Q2" 0 -1.31798774561561
"4" "RNF10" 5.9640943417113 -0.80565298006755
"5" "RNF11" 2.43588890571919 0.458670480208208
"6" "GPAA1" 0 -0.742256693009629
"7" "REM1" 0 -1.84946666265913
"8" "REM2" 0 -1.84946666265913
"9" "IMP4" 3.62239966363458 -0.423427592857512
"10" "C16orf11" 0 -2.07131541227395
"11" "RNF17" 0 -0.808073977499229
"12" "MZT2A" 0 -1.54843666699361
"13" "MZT2B" 0 -1.46925542094573
"14" "NDP" 0 -1.77028541661099
"15" "PMM2" 0 0.0930253680127874
"16" "UBE2F" 0 -0.876338809057339
"17" "PMM1" 0 -1.02992272711605
"18" "ASS1" -3.45939447300398 -0.394277459810795
"19" "MLLT11" -7.75484683108414 -1.08018591736158
"20" "FHIT" 0 -1.1170729028348
"21" "ZNF709" 0 -1.77028541661099
"22" "ZNF708" -6.76151074878257 -0.928667899970125
"23" "ZNF879" 0 -1.54843666699361
"24" "ZNF878" 0 -2.24740667132963
"25" "LRRTM4" 0 -1.31798774561561
"26" "CAMK1" 0 -1.04328668867409
"27" "ZNF701" 0 -1.94637667566411
"28" "ZNF700" -0.730874386687626 0.499577786358281
"29" "ZNF707" 0 -0.703338626980013
"30" "CEACAM3" 0 -1.64534668000205
"31" "ZNF704" 0 -1.18670883097649
"32" "ABHD12B" 0 -1.40230863131603
"33" "AC092118.1" 0 -2.07131541227395
"34" "RNF114" 7.63458523300364 -0.496227100208362
"35" "RNF115" 0 -1.59419415755446
"36" "ZC3H15" -5.53175186466835 -0.437071446123197
"37" "ZC3H14" -1.93461175526669 0.402656043779393
"38" "SPN" 0 -1.77028541661099
"39" "RNF111" -4.63739070209455 -0.595167310418622
"40" "IQCA1" 0 -1.1170729028348
"41" "ZC3H18" 5.090683509232 -0.668269097331017
"42" "GRIN1" 0 -1.29316416189048
"43" "AC145676.2" 0 -2.54843666699361
"44" "SP8" 0 -1.84946666265913
"45" "DHX9" -0.0461672746334113 1.0648718961431
"46" "CBX2" -0.240812038993138 0.457066243001091
"47" "LRRTM3" 0 -1.50704398183525
"48" "NUP98" -5.694385987534 0.206280918864425
"49" "XPC" -4.32988205713707 -0.243511964775677
"50" "SP1" -0.19964308508032 0.681069216338488
"51" "XPA" 0 -1.37234540793844
"52" "SP3" -1.20861833029499 0.57497784787295
"53" "SP4" 5.77474694566156 -0.475130660331528
"54" "SP5" 0 -1.94637667566411
"55" "SP6" 0 -2.24740667132963
"56" "CAMKV" 0.955974186103844 0.556861318822729
"57" "TACSTD2" 0 -2.54843666699361
"58" "GOLIM4" 0 -1.31798774561561
"59" "OPA3" -7.17322013684803 -0.991638198927876
"60" "OPA1" 1.90259333867054 0.410941842945254
"61" "RAB40C" -6.91076413511574 -0.730111767796648
"62" "RAB40B" 0 -1.77028541661099
"63" "RAB40A" 0 -1.94637667566411
"64" "AC016722.1" 0 -1.59419415755446
"65" "RP11-190A12.7" NA -Inf
"66" "COL7A1" 0 -0.209980173389021
"67" "MDP1" 0 -1.13346331902303
"68" "GTSE1" -7.17322013685209 -0.292668194591759
"69" "FAM183A" 0 -1.31798774561561
"70" "OVCH2" 0 -1.1012786356515
"71" "OVCH1" 0 -1.1012786356515
"72" "FAM183B" 0 -2.24740667132963
"73" "AKR1D1" 0 -1.34431668433807
"74" "PSAP" 0.187431675366751 1.23756972348554
"75" "MYO3A" 0 -0.91496821141499
"76" "ITGA9" 0.94614858593353 0.260479467077527
"77" "UGCG" 0 0.106690066342755
"78" "MYO3B" 0 -1.70333862698001
"79" "RP4-559A3.7" NA -Inf
"80" "ATP2A1" 0 -1.1170729028348
"81" "ATP2A2" 2.04393880271007 0.396684320182492
"82" "ATP2A3" 0 -1.70333862698001
"83" "AL844853.1" NA -Inf
"84" "GCG" 0 -1.50704398183525
"85" "ITGA2" -3.79029843116812 -0.151865104142071
"86" "ITGA3" 3.77048028773711 -0.449443917617313
"87" "ITGA4" 0 -1.02992272711605
"88" "ITGA5" 0 -0.935652810275711
"89" "RIT1" 0 -1.64534668000205
"90" "ITGA7" 4.75808289548226 -0.313759890418106
"91" "TRHR" 0 -1.84946666265913
"92" "DENND4A" 0 -1.01695774995163
"93" "DENND4B" -3.96123976494851 -0.181358660719575
"94" "RP11-303O9.2" NA -Inf
"95" "ELL3" 0 -1.13346331902303
"96" "SWAP70" 1.34842404139836 0.320090942226862
"97" "RARRES1" 0 -1.46925542094573
"98" "PHLDA1" -6.76151074878257 -0.928667899970125
"99" "PHLDA3" 7.69956036198922 -0.435294846362369
