bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID
585	YGL263W	chrVII	+	2789	3932	2789	3932	1	2789,	3932,	P53053
585	YGL262W	chrVII	+	5311	5839	5311	5839	1	5311,	5839,	P53054
585	YGL261C	chrVII	-	6289	6652	6289	6652	1	6289,	6652,	P53055
585	YGL260W	chrVII	+	6859	7090	6859	7090	1	6859,	7090,	P53056
585	YGL259W	chrVII	+	8469	8967	8469	8967	1	8469,	8967,	P53057
585	YGL258W-A	chrVII	+	9161	9395	9161	9395	1	9161,	9395,	Q3E740
585	YGL258W	chrVII	+	11109	11730	11109	11730	1	11109,	11730,	P53058
585	YGL257C	chrVII	-	12480	14157	12480	14157	1	12480,	14157,	P53059
585	YGL256W	chrVII	+	15158	16307	15158	16307	1	15158,	16307,	P10127
585	YGL255W	chrVII	+	20977	22108	20977	22108	1	20977,	22108,	P32804
585	YGL254W	chrVII	+	22303	23203	22303	23203	1	22303,	23203,	P32805
585	YGL253W	chrVII	+	23934	25395	23934	25395	1	23934,	25395,	P04807
585	YGL252C	chrVII	-	25717	27484	25717	27484	1	25717,	27484,	P32608
585	YGL251C	chrVII	-	27920	31636	27920	31636	2	27920,31578,	31426,31636,	P51979
585	YGL250W	chrVII	+	31909	32635	31909	32635	1	31909,	32635,	P53060
585	YGL249W	chrVII	+	33097	35212	33097	35212	1	33097,	35212,	P53061
585	YGL248W	chrVII	+	35652	36762	35652	36762	1	35652,	36762,	P22434
585	YGL247W	chrVII	+	36932	37526	36932	37526	1	36932,	37526,	P53062
585	YGL246C	chrVII	-	37616	38780	37616	38780	1	37616,	38780,	P53063
585	YGL245W	chrVII	+	39022	41149	39022	41149	1	39022,	41149,	P46655
585	YGL244W	chrVII	+	41497	43174	41497	43174	1	41497,	43174,	P53064
585	YGL243W	chrVII	+	43306	44509	43306	44509	1	43306,	44509,	P53065
585	YGL242C	chrVII	-	44651	45197	44651	45197	1	44651,	45197,	P53066
585	YGL241W	chrVII	+	45444	48459	45444	48459	1	45444,	48459,	P53067
585	YGL240W	chrVII	+	48612	49365	48612	49365	1	48612,	49365,	P53068
585	YGL239C	chrVII	-	49430	49745	49430	49745	1	49430,	49745,	n/a
585	YGL238W	chrVII	+	49551	52434	49551	52434	1	49551,	52434,	P33307
585	YGL237C	chrVII	-	52730	53528	52730	53528	1	52730,	53528,	P06774
585	YGL236C	chrVII	-	53786	55796	53786	55796	1	53786,	55796,	P53070
585	YGL235W	chrVII	+	55278	55815	55278	55815	1	55278,	55815,	P53071
585	YGL234W	chrVII	+	56481	58890	56481	58890	1	56481,	58890,	P07244
585	YGL233W	chrVII	+	59121	61854	59121	61854	1	59121,	61854,	P22224
585	YGL232W	chrVII	+	62074	63002	62074	63002	2	62074,62189,	62131,63002,	P53072
585	YGL231C	chrVII	-	63047	63620	63047	63620	1	63047,	63620,	P53073
585	YGL230C	chrVII	-	63771	64215	63771	64215	1	63771,	64215,	P53074
585	YGL229C	chrVII	-	64502	66959	64502	66959	1	64502,	66959,	P53036
585	YGL228W	chrVII	+	67597	69331	67597	69331	1	67597,	69331,	P53075
585	YGL227W	chrVII	+	69670	72547	69670	72547	1	69670,	72547,	P53076
585	YGL226C-A	chrVII	-	72747	73157	72747	73157	2	72747,73136,	72987,73157,	Q92316
585	YGL226W	chrVII	+	73338	73710	73338	73710	1	73338,	73710,	P53077
585	YGL225W	chrVII	+	76892	77906	76892	77906	1	76892,	77906,	P40107
585	YGL224C	chrVII	-	78013	78856	78013	78856	1	78013,	78856,	P53078
585	YGL223C	chrVII	-	79110	80364	79110	80364	1	79110,	80364,	P53079
585	YGL222C	chrVII	-	80657	81185	80657	81185	1	80657,	81185,	P53080
585	YGL221C	chrVII	-	81424	82291	81424	82291	1	81424,	82291,	P53081
585	YGL220W	chrVII	+	82372	82735	82372	82735	1	82372,	82735,	P53082
585	YGL219C	chrVII	-	82876	84256	82876	84256	1	82876,	84256,	P53083
585	YGL218W	chrVII	+	83648	84299	83648	84299	1	83648,	84299,	n/a
585	YGL217C	chrVII	-	84837	85179	84837	85179	1	84837,	85179,	n/a
585	YGL216W	chrVII	+	84883	87301	84883	87301	1	84883,	87301,	P53086
585	YGL215W	chrVII	+	87979	89338	87979	89338	1	87979,	89338,	P35190
585	YGL214W	chrVII	+	90010	90499	90010	90499	1	90010,	90499,	n/a
585	YGL213C	chrVII	-	90057	91251	90057	91251	1	90057,	91251,	Q02793
585	YGL212W	chrVII	+	91435	92386	91435	92386	1	91435,	92386,	P32912
585	YGL211W	chrVII	+	92515	93595	92515	93595	1	92515,	93595,	P53088
585	YGL210W	chrVII	+	93796	94465	93796	94465	1	93796,	94465,	P51996
585	YGL209W	chrVII	+	95861	97010	95861	97010	1	95861,	97010,	P53035
585	YGL208W	chrVII	+	97341	98589	97341	98589	1	97341,	98589,	P34164
585	YGL207W	chrVII	+	98972	102080	98972	102080	1	98972,	102080,	P32558
585	YGL206C	chrVII	-	102546	107508	102546	107508	1	102546,	107508,	P22137
585	YGL205W	chrVII	+	108161	110408	108161	110408	1	108161,	110408,	P13711
585	YGL204C	chrVII	-	111703	112009	111703	112009	1	111703,	112009,	n/a
585	YGL203C	chrVII	-	112478	114668	112478	114668	1	112478,	114668,	P09620
585	YGL202W	chrVII	+	116062	117565	116062	117565	1	116062,	117565,	P53090
