name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc007aet.1	chr1	-	3195984	3205713	3195984	3195984	2	3195984,3203519,	3197398,3205713,		uc007aet.1
uc007aeu.1	chr1	-	3204562	3661579	3206102	3661429	3	3204562,3411782,3660632,	3207049,3411982,3661579,	Q5GH67	uc007aeu.1
uc007aev.1	chr1	-	3638391	3648985	3638391	3638391	2	3638391,3648927,	3640590,3648985,		uc007aev.1
uc007aew.1	chr1	-	4280926	4399322	4283061	4399268	4	4280926,4341990,4342282,4399250,	4283093,4342162,4342918,4399322,	NP_001182591	uc007aew.1
uc007aex.2	chr1	-	4333587	4350395	4334680	4342906	4	4333587,4341990,4342282,4350280,	4340172,4342162,4342918,4350395,	Q548Q8	uc007aex.2
uc007aey.1	chr1	-	4481008	4483816	4481796	4483487	2	4481008,4483180,	4482749,4483816,	Q61473	uc007aey.1
uc007aez.1	chr1	-	4481008	4486494	4481796	4483487	5	4481008,4483180,4483852,4485216,4486371,	4482749,4483547,4483944,4486023,4486494,	Q61473	uc007aez.1
uc007afa.1	chr1	-	4481008	4486494	4481796	4485236	4	4481008,4483852,4485216,4486371,	4482749,4483944,4486023,4486494,	Q61473	uc007afa.1
uc007afb.1	chr1	-	4481008	4486494	4481796	4482672	3	4481008,4483852,4486371,	4482749,4483944,4486494,	Q61473-2	uc007afb.1
uc007afc.1	chr1	-	4481008	4486494	4481796	4483487	4	4481008,4483180,4483852,4486371,	4482749,4483571,4483944,4486494,	Q61473	uc007afc.1
uc007aff.2	chr1	-	4763278	4775807	4766544	4775758	5	4763278,4767605,4772648,4774031,4775653,	4766882,4767729,4772814,4774186,4775807,	Q9CPR5	uc007aff.2
uc007afd.2	chr1	-	4763278	4775807	4764532	4775758	5	4763278,4767605,4772648,4774031,4775653,	4764597,4767729,4772814,4774186,4775807,	Q9CPR5-2	uc007afd.2
uc007afe.2	chr1	-	4763278	4775807	4763278	4763278	4	4763278,4767605,4772648,4775653,	4764597,4767729,4772814,4775807,		uc007afe.2
uc007afg.1	chr1	+	4797973	4832908	4798009	4831240	8	4797973,4798535,4818664,4820348,4822391,4827081,4829467,4831036,	4798063,4798567,4818730,4820396,4822462,4827155,4829569,4832908,	P97823-2	uc007afg.1
uc007afh.1	chr1	+	4797973	4836816	4797994	4835097	9	4797973,4798535,4818664,4820348,4822391,4827081,4829467,4831036,4835043,	4798063,4798567,4818730,4820396,4822462,4827155,4829569,4831213,4836816,	P97823	uc007afh.1
