chromosome	source	feature	start	end	score	strand	frame	gene_id	 transcript_id 	 exon_number 	 gene_name 	 gene_biotype 	 transcript_name 	 protein_id 
18	protein_coding	exon	3122455	3123465	.	-	.	ENSMUSG00000091539	ENSMUST00000165255	1	Vmn1r238	protein_coding	Vmn1r238-201	
18	protein_coding	CDS	3122495	3123412	.	-	0	ENSMUSG00000091539	ENSMUST00000165255	1	Vmn1r238	protein_coding	Vmn1r238-201	ENSMUSP00000129804
18	protein_coding	start_codon	3123410	3123412	.	-	0	ENSMUSG00000091539	ENSMUST00000165255	1	Vmn1r238	protein_coding	Vmn1r238-201	
18	protein_coding	stop_codon	3122492	3122494	.	-	0	ENSMUSG00000091539	ENSMUST00000165255	1	Vmn1r238	protein_coding	Vmn1r238-201	
18	protein_coding	exon	3327492	3327589	.	-	.	ENSMUSG00000063889	ENSMUST00000151311	1	Crem	protein_coding	Crem-020	
18	protein_coding	CDS	3327492	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000151311	1	Crem	protein_coding	Crem-020	ENSMUSP00000118267
18	protein_coding	start_codon	3327533	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000151311	1	Crem	protein_coding	Crem-020	
18	protein_coding	exon	3325359	3325476	.	-	.	ENSMUSG00000063889	ENSMUST00000151311	2	Crem	protein_coding	Crem-020	
18	protein_coding	CDS	3325359	3325476	.	-	1	ENSMUSG00000063889	ENSMUST00000151311	2	Crem	protein_coding	Crem-020	ENSMUSP00000118267
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000151311	3	Crem	protein_coding	Crem-020	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000151311	3	Crem	protein_coding	Crem-020	ENSMUSP00000118267
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000151311	4	Crem	protein_coding	Crem-020	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000151311	4	Crem	protein_coding	Crem-020	ENSMUSP00000118267
18	protein_coding	exon	3287902	3288090	.	-	.	ENSMUSG00000063889	ENSMUST00000151311	5	Crem	protein_coding	Crem-020	
18	protein_coding	CDS	3287902	3288090	.	-	2	ENSMUSG00000063889	ENSMUST00000151311	5	Crem	protein_coding	Crem-020	ENSMUSP00000118267
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000151311	6	Crem	protein_coding	Crem-020	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000151311	6	Crem	protein_coding	Crem-020	ENSMUSP00000118267
18	protein_coding	exon	3266046	3267730	.	-	.	ENSMUSG00000063889	ENSMUST00000151311	7	Crem	protein_coding	Crem-020	
18	protein_coding	CDS	3267589	3267730	.	-	1	ENSMUSG00000063889	ENSMUST00000151311	7	Crem	protein_coding	Crem-020	ENSMUSP00000118267
18	protein_coding	stop_codon	3267586	3267588	.	-	0	ENSMUSG00000063889	ENSMUST00000151311	7	Crem	protein_coding	Crem-020	
18	protein_coding	exon	3337378	3337677	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	1	Crem	protein_coding	Crem-001	
18	protein_coding	exon	3327492	3327589	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	2	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3327492	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000150235	2	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	start_codon	3327533	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000150235	2	Crem	protein_coding	Crem-001	
18	protein_coding	exon	3325359	3325476	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	3	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3325359	3325476	.	-	1	ENSMUSG00000063889	ENSMUST00000150235	3	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	exon	3299160	3299306	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	4	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3299160	3299306	.	-	0	ENSMUSG00000063889	ENSMUST00000150235	4	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	5	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000150235	5	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	6	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000150235	6	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	exon	3287902	3288090	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	7	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3287902	3288090	.	-	2	ENSMUSG00000063889	ENSMUST00000150235	7	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	exon	3276692	3276727	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	8	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3276692	3276727	.	-	2	ENSMUSG00000063889	ENSMUST00000150235	8	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	9	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000150235	9	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	exon	3266352	3267730	.	-	.	ENSMUSG00000063889	ENSMUST00000150235	10	Crem	protein_coding	Crem-001	
18	protein_coding	CDS	3267589	3267730	.	-	1	ENSMUSG00000063889	ENSMUST00000150235	10	Crem	protein_coding	Crem-001	ENSMUSP00000121233
18	protein_coding	stop_codon	3267586	3267588	.	-	0	ENSMUSG00000063889	ENSMUST00000150235	10	Crem	protein_coding	Crem-001	
18	protein_coding	exon	3299448	3299557	.	-	.	ENSMUSG00000063889	ENSMUST00000122958	1	Crem	protein_coding	Crem-015	
18	protein_coding	CDS	3299448	3299450	.	-	0	ENSMUSG00000063889	ENSMUST00000122958	1	Crem	protein_coding	Crem-015	ENSMUSP00000121118
18	protein_coding	start_codon	3299448	3299450	.	-	0	ENSMUSG00000063889	ENSMUST00000122958	1	Crem	protein_coding	Crem-015	
18	protein_coding	exon	3299160	3299306	.	-	.	ENSMUSG00000063889	ENSMUST00000122958	2	Crem	protein_coding	Crem-015	
18	protein_coding	CDS	3299160	3299306	.	-	0	ENSMUSG00000063889	ENSMUST00000122958	2	Crem	protein_coding	Crem-015	ENSMUSP00000121118
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000122958	3	Crem	protein_coding	Crem-015	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000122958	3	Crem	protein_coding	Crem-015	ENSMUSP00000121118
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000122958	4	Crem	protein_coding	Crem-015	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000122958	4	Crem	protein_coding	Crem-015	ENSMUSP00000121118
18	protein_coding	exon	3287902	3288090	.	-	.	ENSMUSG00000063889	ENSMUST00000122958	5	Crem	protein_coding	Crem-015	
18	protein_coding	CDS	3287902	3288090	.	-	2	ENSMUSG00000063889	ENSMUST00000122958	5	Crem	protein_coding	Crem-015	ENSMUSP00000121118
18	protein_coding	exon	3276692	3276727	.	-	.	ENSMUSG00000063889	ENSMUST00000122958	6	Crem	protein_coding	Crem-015	
18	protein_coding	CDS	3276692	3276727	.	-	2	ENSMUSG00000063889	ENSMUST00000122958	6	Crem	protein_coding	Crem-015	ENSMUSP00000121118
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000122958	7	Crem	protein_coding	Crem-015	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000122958	7	Crem	protein_coding	Crem-015	ENSMUSP00000121118
18	protein_coding	exon	3266354	3267730	.	-	.	ENSMUSG00000063889	ENSMUST00000122958	8	Crem	protein_coding	Crem-015	
18	protein_coding	CDS	3267589	3267730	.	-	1	ENSMUSG00000063889	ENSMUST00000122958	8	Crem	protein_coding	Crem-015	ENSMUSP00000121118
18	protein_coding	stop_codon	3267586	3267588	.	-	0	ENSMUSG00000063889	ENSMUST00000122958	8	Crem	protein_coding	Crem-015	
18	protein_coding	exon	3337378	3337486	.	-	.	ENSMUSG00000063889	ENSMUST00000154135	1	Crem	protein_coding	Crem-004	
18	protein_coding	exon	3327492	3327589	.	-	.	ENSMUSG00000063889	ENSMUST00000154135	2	Crem	protein_coding	Crem-004	
18	protein_coding	CDS	3327492	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000154135	2	Crem	protein_coding	Crem-004	ENSMUSP00000122051
18	protein_coding	start_codon	3327533	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000154135	2	Crem	protein_coding	Crem-004	
18	protein_coding	exon	3325359	3325476	.	-	.	ENSMUSG00000063889	ENSMUST00000154135	3	Crem	protein_coding	Crem-004	
18	protein_coding	CDS	3325359	3325476	.	-	1	ENSMUSG00000063889	ENSMUST00000154135	3	Crem	protein_coding	Crem-004	ENSMUSP00000122051
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000154135	4	Crem	protein_coding	Crem-004	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000154135	4	Crem	protein_coding	Crem-004	ENSMUSP00000122051
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000154135	5	Crem	protein_coding	Crem-004	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000154135	5	Crem	protein_coding	Crem-004	ENSMUSP00000122051
18	protein_coding	exon	3276692	3276727	.	-	.	ENSMUSG00000063889	ENSMUST00000154135	6	Crem	protein_coding	Crem-004	
18	protein_coding	CDS	3276692	3276727	.	-	2	ENSMUSG00000063889	ENSMUST00000154135	6	Crem	protein_coding	Crem-004	ENSMUSP00000122051
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000154135	7	Crem	protein_coding	Crem-004	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000154135	7	Crem	protein_coding	Crem-004	ENSMUSP00000122051
18	protein_coding	exon	3266354	3268127	.	-	.	ENSMUSG00000063889	ENSMUST00000154135	8	Crem	protein_coding	Crem-004	
18	protein_coding	CDS	3267986	3268127	.	-	1	ENSMUSG00000063889	ENSMUST00000154135	8	Crem	protein_coding	Crem-004	ENSMUSP00000122051
18	protein_coding	stop_codon	3267983	3267985	.	-	0	ENSMUSG00000063889	ENSMUST00000154135	8	Crem	protein_coding	Crem-004	
18	protein_coding	exon	3337378	3337587	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	1	Crem	protein_coding	Crem-201	
18	protein_coding	exon	3327492	3327589	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	2	Crem	protein_coding	Crem-201	
18	protein_coding	CDS	3327492	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000025069	2	Crem	protein_coding	Crem-201	ENSMUSP00000025069
18	protein_coding	start_codon	3327533	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000025069	2	Crem	protein_coding	Crem-201	
